0, ML, 79, OFFSET, 2667825
1, ML, 6, OFFSET, 1329984
2, ML, 0, OFFSET, 1015388
3, ML, 0, OFFSET, 863865
4, ML, 280163, OFFSET, 715100
5, ML, 4011527, OFFSET, 612256
6, ML, 2915082, OFFSET, 545712
7, ML, 2297825, OFFSET, 514495
8, ML, 1758930, OFFSET, 461406
9, ML, 1242459, OFFSET, 424599
10, ML, 1090194, OFFSET, 391519
11, ML, 886570, OFFSET, 376150
12, ML, 649357, OFFSET, 332432
13, ML, 553053, OFFSET, 310963
14, ML, 769956, OFFSET, 314618
15, ML, 747696, OFFSET, 284097
16, ML, 399264, OFFSET, 267019
17, ML, 359405, OFFSET, 252914
18, ML, 375641, OFFSET, 262573
19, ML, 360762, OFFSET, 230371
20, ML, 401038, OFFSET, 217812
21, ML, 449221, OFFSET, 213600
22, ML, 301132, OFFSET, 221016
23, ML, 253339, OFFSET, 194298
24, ML, 163853, OFFSET, 186119
25, ML, 139684, OFFSET, 190831
26, ML, 162377, OFFSET, 179633
27, ML, 145865, OFFSET, 166103
28, ML, 110018, OFFSET, 161094
29, ML, 93805, OFFSET, 173230
30, ML, 168568, OFFSET, 153047
31, ML, 127220, OFFSET, 145651
32, ML, 78165, OFFSET, 143491
33, ML, 65562, OFFSET, 153767
34, ML, 72316, OFFSET, 133950
35, ML, 61711, OFFSET, 129657
36, ML, 50124, OFFSET, 129613
37, ML, 47525, OFFSET, 135046
38, ML, 56035, OFFSET, 119118
39, ML, 49173, OFFSET, 115268
40, ML, 35689, OFFSET, 127459
41, ML, 44218, OFFSET, 113062
42, ML, 97845, OFFSET, 107386
43, ML, 86279, OFFSET, 106156
44, ML, 60787, OFFSET, 117723
45, ML, 39181, OFFSET, 100887
46, ML, 27692, OFFSET, 98401
47, ML, 23289, OFFSET, 97886
48, ML, 20916, OFFSET, 108179
49, ML, 18724, OFFSET, 92686
50, ML, 22103, OFFSET, 89516
51, ML, 21959, OFFSET, 102064
52, ML, 36484, OFFSET, 91151
53, ML, 26067, OFFSET, 84755
54, ML, 34313, OFFSET, 83553
55, ML, 42048, OFFSET, 93387
56, ML, 50771, OFFSET, 80912
57, ML, 77077, OFFSET, 78406
58, ML, 88094, OFFSET, 77647
59, ML, 114361, OFFSET, 87321
60, ML, 109489, OFFSET, 74553
61, ML, 48988, OFFSET, 73019
62, ML, 30575, OFFSET, 75034
63, ML, 15677, OFFSET, 102224
64, ML, 13206, OFFSET, 88162
65, ML, 16283, OFFSET, 68207
66, ML, 21889, OFFSET, 77074
67, ML, 22520, OFFSET, 68387
68, ML, 23740, OFFSET, 64414
69, ML, 43531, OFFSET, 64626
70, ML, 20678, OFFSET, 73978
71, ML, 10513, OFFSET, 64230
72, ML, 8281, OFFSET, 61742
73, ML, 4483, OFFSET, 62474
74, ML, 4627, OFFSET, 70077
75, ML, 4522, OFFSET, 58757
76, ML, 5094, OFFSET, 64257
77, ML, 3636, OFFSET, 63883
78, ML, 5390, OFFSET, 59289
